Project Name,ID,Sort ID,Type,Task,Phase,Status,Responsible,Start Date,Days,End Date,Depends On,Dependencies,Comments
"1. liderality",1,1,Task,"Kick-Off","Kick-Off","Done","Sharpen.Studio - Cliente",16/02/2026,1,16/02/2026,,2;17;25;44,"En la reunión de kick-off se discuten la estrategia de desarrollo, los plazos, el alcance y las tareas. Además, se presentan los líderes del proyecto."
"1. liderality",1.1,,Subtask,"Scope",,"Done",,,,,,,
"1. liderality",2,2,Task,"Entregables (Contenidos Generales)","Deliverables","Doing","Cliente",14/02/2026,7,20/02/2026,1,3,"Entregables necesarios por parte del cliente para comenzar el desarrollo. Los elementos clave para iniciar incluyen: look & feel, textos, contenido multimedia y branding."
"1. liderality",2.1,,Subtask,"Look & Feel",,"Doing",,,,,,,
"1. liderality",2.2,,Subtask,"Branding",,"Doing",,,,,,,
"1. liderality",2.3,,Subtask,"Copy / Textos",,"Doing",,,,,,,
"1. liderality",2.4,,Subtask,"Multimedia / Fotos y Videos en YouTube",,"Doing",,,,,,,
"1. liderality",2.5,,Subtask,"Info de Contacto / Email, WhatsApp, etc.",,"Doing",,,,,,,
"1. liderality",2.6,,Subtask,"Legales",,"Not Started",,,,,,,
"1. liderality",2.7,,Subtask,"Diversos",,"Doing",,,,,,,
"1. liderality",44,3,Task,"Entregables (Blog)","Deliverables","On Hold","Cliente",14/02/2026,15,28/02/2026,1,36;38,"Entrega de accesos, estructura y contenidos relacionados con la sección de Blog del sitio web."
"1. liderality",44.1,,Subtask,"Campos para crear template de Blog",,"Not Started",,,,,,,
"1. liderality",44.2,,Subtask,"Contenidos (texto e imágenes) para dar de alta artículos de Blog",,"Not Started",,,,,,,
"1. liderality",25,4,Task,"Entregables (Servicios) ","Deliverables","Done","Cliente",14/02/2026,15,28/02/2026,1,45,"Entrega de accesos, estructura y contenidos relacionados con la sección de Proyectos del sitio web."
"1. liderality",25.1,,Subtask,"Campos para crear template de Proyectos",,"Done",,,,,,,
"1. liderality",25.2,,Subtask,"Contenidos (texto e imágenes) para dar de alta Proyectos",,"Done",,,,,,,
"1. liderality",17,5,Task,"Entregables (Dominio/Servidor)","Deliverables","Doing","Cliente",14/02/2026,45,30/03/2026,1,20,"El cliente debe entregar acceso al registro del dominio y servidor."
"1. liderality",17.1,,Subtask,"Acceso al Dominio (GoDaddy, etc.)",,"Not Started",,,,,,,
"1. liderality",17.2,,Subtask,"Acceso al panel de control del Servidor",,"Not Started",,,,,,,
"1. liderality",17.3,,Subtask,"Acceso a Gmail (para Google Anaytics y Google Search Console)",,"Not Started",,,,,,,
"1. liderality",17.4,,Subtask,"Acceso a Traductor (Weglot)",,"Doing",,,,,,,
"1. liderality",3,6,Task,"Sitemap","Development basic","Done","Sharpen.Studio",21/02/2026,1,21/02/2026,2,4,"Se desarrolla el sitemap: una guía para definir objetivos, la estructura del sitio y la importancia de cada página, optimizando su indexación en buscadores."
"1. liderality",4,7,Task,"Sitemap - Aprobación","Development basic","Done","Cliente",22/02/2026,1,22/02/2026,3,5,"El sitemap requiere aprobación por parte del cliente."
"1. liderality",5,8,Task,"Dummy PDF","Development basic","Done","Sharpen.Studio",23/02/2026,15,09/03/2026,4,6,"**Maqueta visual - Wireframe - Dummy PDF**  Con el sitemap definido, se crea un dummy PDF o maqueta visual estática que ofrece una visión más clara del diseño de tu sitio web. Se presentan dos páginas, mostrando textos, identidad gráfica, colores, imágenes y más."
"1. liderality",6,9,Task,"Dummy PDF - Aprobación","Development basic","Done","Cliente",10/03/2026,3,12/03/2026,5,7,"El cliente debe de aprobar el Dummy PDF."
"1. liderality",7,10,Task,"Dummy Web 1 - (Home)","Development basic","Done","Sharpen.Studio",13/03/2026,15,27/03/2026,6,8,"Se inicia el desarrollo web, presentando uno o dos apartados para la aprobación del cliente."
"1. liderality",7.1,,Subtask,"Instalación de WordPress de acuerdo al idioma predeterminado (inglés o español)",,"Done",,,,,,,
"1. liderality",7.2,,Subtask,"Configuración inicial de WordPress",,"Done",,,,,,,
"1. liderality",7.3,,Subtask,"Instalar Plugins predeterminados",,"Done",,,,,,,
"1. liderality",7.4,,Subtask,"Desarrollo de página inicial (Home)",,"Done",,,,,,,
"1. liderality",7.5,,Subtask,"Revisión de Accesibilidad (WCAG)",,"Done",,,,,,,
"1. liderality",8,11,Task,"Dummy Web 1 - (Home) - Aprobación","Development basic","Done","Cliente",28/03/2026,2,29/03/2026,7,9,"El cliente debe de aprobar el dummy web inicial presentado, antes de proseguir con el resto del sitio."
"1. liderality",9,12,Task,"Dummy Web 2","Development basic","Doing","Sharpen.Studio",30/03/2026,10,08/04/2026,8,10,"Se desarrollan las demás páginas y secciones del dummy web."
"1. liderality",9.1,,Subtask,"Páginas según Scope",,"Done",,,,,,,
"1. liderality",9.2,,Subtask,"Configuración de Formularios de Contacto",,"Done",,,,,,,
"1. liderality",9.3,,Subtask,"Contacto - Gracias",,"Done",,,,,,,
"1. liderality",9.4,,Subtask,"404",,"Done",,,,,,,
"1. liderality",9.5,,Subtask,"Plantilla Elemailer",,"Done",,,,,,,
"1. liderality",9.6,,Subtask,"Aviso de Cookies",,"Done",,,,,,,
"1. liderality",9.7,,Subtask,"Formulario de Acceso y Registro a WP Admin",,"Done",,,,,,,
"1. liderality",9.8,,Subtask,"Legales",,"Not Started",,,,,,,
"1. liderality",10,13,Task,"Dummy Web 2 - Aprobación","Development basic","On Hold","Cliente",09/04/2026,1,09/04/2026,9,11;36;45,"El cliente debe de aprobar el dummy web restante."
"1. liderality",36,14,Task,"Blog - Desarrollo","Development basic","Done","Sharpen.Studio",10/04/2026,3,12/04/2026,10;44,37,"Configuración y desarrollo de la sección de Blog, dejando la estructura lista para publicar contenidos de forma ordenada, clara y optimizada."
"1. liderality",36.1,,Subtask,"Creación y configuración inicial de Blog",,"Done",,,,,,,
"1. liderality",36.2,,Subtask,"Diseño y desarrollo de Loop Item, Single, Archive y Resultados de Búsqueda de Blog",,"Done",,,,,,,
"1. liderality",37,15,Task,"Blog - Dar de Alta 3x Artículos","Development basic","On Hold","Sharpen.Studio",13/04/2026,1,13/04/2026,36,11,"Se cargan X artículos de ejemplo para mostrar el funcionamiento del blog y servir como referencia de estilo y estructura, estipulados en el convenio."
"1. liderality",11,16,Task,"Dummy Web 3","Development basic","Not Started","Sharpen.Studio",14/04/2026,3,16/04/2026,10;37,12,"Ajustes finales sobre el dummy web, tras haber creado módulo de Blog, integrando cambios menores antes de pasar a la etapa de aprobación."
"1. liderality",12,17,Task,"Dummy Web 3 - Aprobación","Development basic","Not Started","Cliente",17/04/2026,1,17/04/2026,11,38;42,"Revisión y validación del dummy web, con el módulo de Blog, por parte del cliente para continuar con el desarrollo."
"1. liderality",38,18,Task,"Blog - Capacitación al Cliente","Training","Not Started","Sharpen.Studio - Cliente",18/04/2026,1,18/04/2026,12;44,39,"Sesión breve para explicar al cliente cómo crear, editar y publicar artículos dentro del blog de forma autónoma."
"1. liderality",39,19,Task,"Blog - Cliente da de Alta Artículos","Development basic","Not Started","Cliente",19/04/2026,3,21/04/2026,38,,"El cliente comienza a cargar sus propios artículos en el blog siguiendo la estructura y lineamientos definidos."
"1. liderality",45,20,Task,"Proyectos - Desarrollo","Development Projects","Done","Sharpen.Studio",10/04/2026,5,14/04/2026,10;25,26,"Configuración y desarrollo de la sección de Proyectos, dejando la estructura lista para publicar contenidos de forma ordenada, clara y optimizada."
"1. liderality",45.1,,Subtask,"Creación y configuración inicial de Proyectos",,"Done",,,,,,,
"1. liderality",45.2,,Subtask,"Diseño y desarrollo de Loop Item, Single, Archive y Resultados de Búsqueda de Proyectos",,"Done",,,,,,,
"1. liderality",26,21,Task,"Proyectos - Dar de Alta 3x Proyectos","Development Projects","Done","Sharpen.Studio",15/04/2026,1,15/04/2026,45,27;42,"Se cargan X proyectos de ejemplo para mostrar el funcionamiento de los mismos y servir como referencia de estilo y estructura, estipulados en el convenio."
"1. liderality",42,22,Task,"Dummy Web 4","Development basic","Not Started","Sharpen.Studio",18/04/2026,3,20/04/2026,12;26,43,"Ajustes finales sobre el dummy web, tras haber creado módulo de Proyectos, integrando cambios menores antes de pasar a la etapa de aprobación."
"1. liderality",43,23,Task,"Dummy Web 4 - Aprobación","Development basic","Not Started","Cliente",21/04/2026,1,21/04/2026,42,27;41,"Revisión y validación del dummy web, con el módulo de Proyectos, por parte del cliente para continuar con el desarrollo."
"1. liderality",27,24,Task,"Proyectos - Capacitación al Cliente","Training","Not Started","Sharpen.Studio - Cliente",22/04/2026,1,22/04/2026,26;43,28,"Sesión breve para explicar al cliente cómo crear, editar y publicar proyectos de forma autónoma."
"1. liderality",28,25,Task,"Proyectos - Cliente da de Alta Proyectos","Development Projects","Not Started","Cliente",23/04/2026,3,25/04/2026,27,,"El cliente comienza a cargar sus propios proyectos siguiendo la estructura y lineamientos definidos."
"1. liderality",41,26,Task,"Dummy Web - Terminado","Development basic","Not Started","Sharpen.Studio",22/04/2026,1,22/04/2026,43,13,"Versión preliminar del sitio dummy completamente funcional y lista para una revisión general por parte del cliente."
"1. liderality",13,27,Task,"Revisión Final","Review","Not Started","Sharpen.Studio - Cliente",23/04/2026,1,23/04/2026,41,55,"Se hace una revisión por parte del cliente y de Sharpen.Studio."
"1. liderality",13.1,,Subtask,"Verificación de configuración y envío de Formularios",,"Not Started",,,,,,,
"1. liderality",13.2,,Subtask,"Verificación de enlaces rotos",,"Not Started",,,,,,,
"1. liderality",13.3,,Subtask,"Revisión de diversas resoluciones (incluido móvil real) y diversos navegadores",,"Not Started",,,,,,,
"1. liderality",13.4,,Subtask,"Revisión Cliente - VoBo",,"Not Started",,,,,,,
"1. liderality",55,28,Task,"Dummy Web - Aprobación final","Development","Not Started","Sharpen.Studio - Cliente",24/04/2026,1,24/04/2026,13,18;19;20,"Aprobación final del dummy web por parte del cliente para proceder con el lanzamiento del sitio."
"1. liderality",55.1,,Subtask,"Aprobación de Sharpen.Studio",,"Not Started",,,,,,,
"1. liderality",55.2,,Subtask,"Aprobación del Cliente",,"Not Started",,,,,,,
"1. liderality",18,29,Task,"Clean Up / Respaldo Sitio en Desarrollo","Clean up
","Not Started","Sharpen.Studio",25/04/2026,1,25/04/2026,55,19;54,"Eliminar elementos temporales, multimedia, páginas, plugins, etc."
"1. liderality",18.1,,Subtask,"Eliminar Imágenes",,"Not Started",,,,,,,
"1. liderality",18.2,,Subtask,"Añadir ALT a imágenes",,"Not Started",,,,,,,
"1. liderality",18.3,,Subtask,"Eliminar Artículos de Blog y Páginas",,"Not Started",,,,,,,
"1. liderality",18.4,,Subtask,"Eliminar Widgets",,"Not Started",,,,,,,
"1. liderality",18.5,,Subtask,"Eliminar Plugins",,"Not Started",,,,,,,
"1. liderality",18.6,,Subtask,"Actualizar Plugins",,"Not Started",,,,,,,
"1. liderality",19,31,Task,"SEO / WPO 1","SEO","Not Started","Sharpen.Studio",26/04/2026,3,28/04/2026,18;55,47,"SEO - meta tags, copy, etc."
"1. liderality",19.1,,Subtask,"Rank Math Setup",,"Not Started",,,,,,,
"1. liderality",19.2,,Subtask,"Metatags",,"Not Started",,,,,,,
"1. liderality",19.3,,Subtask,"Convertir imágenes a WEBP",,"Not Started",,,,,,,
"1. liderality",19.4,,Subtask,"Optimización de DB",,"Not Started",,,,,,,
"1. liderality",19.5,,Subtask,"Revisión de Web Core Vitals",,"Not Started",,,,,,,
"1. liderality",19.6,,Subtask,"Configurar Plugin de Caché",,"Not Started",,,,,,,
"1. liderality",47,33,Task,"Respaldos y Autorizaciones","Domain - Server","Not Started","Cliente",29/04/2026,1,29/04/2026,19,20,"Confirmación por correo electrónico de que el respaldo del sitio anterior fue generado correctamente por parte del cliente."
