Project Name,ID,Sort ID,Type,Task,Phase,Status,Responsible,Start Date,Days,End Date,Depends On,Dependencies,Comments
"1. PHIXWAVE",1,1,Task,"Kick-Off","Kick-Off","Done","Sharpen.Studio - Cliente",29/04/2026,1,29/04/2026,,2;17;44,"En la reunión de kick-off se discuten la estrategia de desarrollo, los plazos, el alcance y las tareas. Además, se presentan los líderes del proyecto."
"1. PHIXWAVE",1.1,,Subtask,"Scope",,"Done",,,,,,,
"1. PHIXWAVE",2,2,Task,"Entregables (Contenidos Generales)","Deliverables","Doing","Cliente",30/04/2026,7,06/05/2026,1,3,"Entregables necesarios por parte del cliente para comenzar el desarrollo. Los elementos clave para iniciar incluyen: look & feel, textos, contenido multimedia y branding."
"1. PHIXWAVE",2.1,,Subtask,"Look & Feel",,"Doing",,,,,,,
"1. PHIXWAVE",2.2,,Subtask,"Branding",,"Doing",,,,,,,
"1. PHIXWAVE",2.3,,Subtask,"Copy / Textos",,"Doing",,,,,,,
"1. PHIXWAVE",2.4,,Subtask,"Multimedia / Fotos y Videos en YouTube",,"Doing",,,,,,,
"1. PHIXWAVE",2.5,,Subtask,"Info de Contacto / Email, WhatsApp, etc.",,"Doing",,,,,,,
"1. PHIXWAVE",2.6,,Subtask,"Legales",,"Not Started",,,,,,,
"1. PHIXWAVE",2.7,,Subtask,"Diversos",,"Doing",,,,,,,
"1. PHIXWAVE",44,3,Task,"Entregables (Blog)","Deliverables","Done","Cliente",30/04/2026,15,14/05/2026,1,36;38,"Entrega de accesos, estructura y contenidos relacionados con la sección de Blog del sitio web."
"1. PHIXWAVE",44.1,,Subtask,"Campos para crear template de Blog",,"Done",,,,,,,
"1. PHIXWAVE",44.2,,Subtask,"Contenidos (texto e imágenes) para dar de alta artículos de Blog",,"Done",,,,,,,
"1. PHIXWAVE",17,5,Task,"Entregables (Dominio/Servidor)","Deliverables","On Hold","Cliente",30/04/2026,45,13/06/2026,1,20,"El cliente debe entregar acceso al registro del dominio y servidor."
"1. PHIXWAVE",17.1,,Subtask,"Acceso al Dominio (GoDaddy, etc.)",,"Not Started",,,,,,,
"1. PHIXWAVE",17.2,,Subtask,"Acceso al panel de control del Servidor",,"Not Started",,,,,,,
"1. PHIXWAVE",17.3,,Subtask,"Acceso a Gmail (para Google Anaytics y Google Search Console)",,"Not Started",,,,,,,
"1. PHIXWAVE",17.4,,Subtask,"Acceso a Traductor (Weglot)",,"Not Started",,,,,,,
"1. PHIXWAVE",3,6,Task,"Sitemap","Development basic","Done","Sharpen.Studio",07/05/2026,1,07/05/2026,2,4,"Se desarrolla el sitemap: una guía para definir objetivos, la estructura del sitio y la importancia de cada página, optimizando su indexación en buscadores."
