Project Name,ID,Sort ID,Type,Task,Phase,Status,Responsible,Start Date,Days,End Date,Depends On,Dependencies,Comments
Hayley,1,1,Task,Kick-Off,Kick-Off,Not Started,Sharpen.Studio - Client,22/06/2026,1,22/06/2026,,2;17;25,"The kick-off meeting covers the development strategy, timelines, scope, and tasks. Project leads are also introduced."
Hayley,1.1,,Subtask,Scope,,Not Started,,,,,,,
Hayley,2,2,Task,Deliverables (General Content),Deliverables,Not Started,Client,23/06/2026,7,29/06/2026,1,3,"Deliverables required from the client to begin development. Key items to get started include: look & feel, copy, multimedia content, and branding."
Hayley,2.1,,Subtask,Look & Feel,,Done,,,,,,,
Hayley,2.2,,Subtask,Branding,,Not Started,,,,,,,
Hayley,2.3,,Subtask,Copy / Texts,,Not Started,,,,,,,
Hayley,2.4,,Subtask,Multimedia / Photos and Videos on YouTube,,Not Started,,,,,,,
Hayley,2.5,,Subtask,"Contact Info / Email, WhatsApp, etc.",,Not Started,,,,,,,
Hayley,2.6,,Subtask,Legal,,Not Started,,,,,,,
Hayley,2.7,,Subtask,Miscellaneous,,Not Started,,,,,,,
Hayley,25,3,Task,Deliverables (Products),Deliverables,Not Started,Client,23/06/2026,15,07/07/2026,1,45,"Delivery of access, structure, and content related to the Products section of the website."
Hayley,25.1,,Subtask,Fields to create Product template,,Not Started,,,,,,,
Hayley,25.2,,Subtask,Content (text and images) to upload Products,,Not Started,,,,,,,
Hayley,17,4,Task,Deliverables (Domain / Server),Deliverables,Not Started,Client,23/06/2026,45,06/08/2026,1,20,The client must provide access to the domain registrar and server.
Hayley,17.1,,Subtask,"Domain Access (GoDaddy, etc.)",,Not Started,,,,,,,
Hayley,17.2,,Subtask,Server Control Panel Access,,Not Started,,,,,,,
Hayley,17.3,,Subtask,Gmail Access (for Google Analytics and Google Search Console),,Not Started,,,,,,,
Hayley,17.4,,Subtask,Translator Access (Weglot),,Not Started,,,,,,,
Hayley,17.5,,Subtask,"Payment Gateway Access (PayPal, Stripe, Mercado Pago, etc.)",,Not Started,,,,,,,
Hayley,17.6,,Subtask,Shipping Gateway Access,,Not Started,,,,,,,
Hayley,3,5,Task,Sitemap,Development Basic,Not Started,Sharpen.Studio,30/06/2026,3,02/07/2026,2,4,"The sitemap is developed: a guide to define objectives, site structure, and page hierarchy, optimizing search engine indexing."
Hayley,4,6,Task,Sitemap - Approval,Development Basic,Not Started,Client,03/07/2026,1,03/07/2026,3,5,The sitemap requires client approval.
Hayley,5,7,Task,Dummy PDF,Development Basic,Not Started,Sharpen.Studio,04/07/2026,14,17/07/2026,4,6,"**Visual Mockup - Wireframe - Dummy PDF**  With the sitemap defined, a static dummy PDF or visual mockup is created to provide a clearer picture of the website design. Two pages are presented, showing text, graphic identity, colors, images, and more."
Hayley,6,8,Task,Dummy PDF - Approval,Development Basic,Not Started,Client,18/07/2026,1,18/07/2026,5,7,The client must approve the Dummy PDF.
Hayley,7,9,Task,Dummy Web 1 - (Home),Development Basic,Not Started,Sharpen.Studio,19/07/2026,19,06/08/2026,6,8,"Web development begins, presenting one or two sections for client approval."
Hayley,7.1,,Subtask,WordPress installation in the default language (English or Spanish),,Not Started,,,,,,,
Hayley,7.2,,Subtask,Initial WordPress configuration,,Not Started,,,,,,,
Hayley,7.3,,Subtask,Install default plugins,,Not Started,,,,,,,
Hayley,7.4,,Subtask,Home page development,,Not Started,,,,,,,
Hayley,7.5,,Subtask,Accessibility Review (WCAG),,Not Started,,,,,,,
Hayley,8,10,Task,Dummy Web 1 - (Home) - Approval,Development Basic,Not Started,Client,07/08/2026,1,07/08/2026,7,9,The client must approve the initial web dummy before proceeding with the rest of the site.
Hayley,9,11,Task,Dummy Web 2,Development Basic,Not Started,Sharpen.Studio,08/08/2026,14,21/08/2026,8,10,The remaining pages and sections of the web dummy are developed.
Hayley,9.1,,Subtask,Pages per Scope,,Not Started,,,,,,,
