Project Name,ID,Sort ID,Type,Task,Phase,Status,Responsible,Start Date,Days,End Date,Depends On,Dependencies,Comments
"Hayley",1,1,Task,"Kick-Off","Kick-Off","Not Started","Sharpen.Studio - Cliente",22/06/2026,1,22/06/2026,,2;17;25,"En la reunión de kick-off se discuten la estrategia de desarrollo, los plazos, el alcance y las tareas. Además, se presentan los líderes del proyecto."
"Hayley",1.1,,Subtask,"Scope",,"Not Started",,,,,,,
"Hayley",2,2,Task,"Entregables (Contenidos Generales)","Deliverables","Not Started","Cliente",23/06/2026,7,29/06/2026,1,3,"Entregables necesarios por parte del cliente para comenzar el desarrollo. Los elementos clave para iniciar incluyen: look & feel, textos, contenido multimedia y branding."
"Hayley",2.1,,Subtask,"Look & Feel",,"Done",,,,,,,
"Hayley",2.2,,Subtask,"Branding",,"Not Started",,,,,,,
"Hayley",2.3,,Subtask,"Copy / Textos",,"Not Started",,,,,,,
"Hayley",2.4,,Subtask,"Multimedia / Fotos y Videos en YouTube",,"Not Started",,,,,,,
"Hayley",2.5,,Subtask,"Info de Contacto / Email, WhatsApp, etc.",,"Not Started",,,,,,,
"Hayley",2.6,,Subtask,"Legales",,"Not Started",,,,,,,
"Hayley",2.7,,Subtask,"Diversos",,"Not Started",,,,,,,
"Hayley",25,3,Task,"Entregables (Productos) ","Deliverables","Not Started","Cliente",23/06/2026,15,07/07/2026,1,45,"Entrega de accesos, estructura y contenidos relacionados con la sección de Proyectos del sitio web."
"Hayley",25.1,,Subtask,"Campos para crear template de Productos",,"Not Started",,,,,,,
"Hayley",25.2,,Subtask,"Contenidos (texto e imágenes) para dar de alta Productos",,"Not Started",,,,,,,
"Hayley",17,4,Task,"Entregables (Dominio/Servidor)","Deliverables","Not Started","Cliente",23/06/2026,45,06/08/2026,1,20,"El cliente debe entregar acceso al registro del dominio y servidor."
"Hayley",17.1,,Subtask,"Acceso al Dominio (GoDaddy, etc.)",,"Not Started",,,,,,,
"Hayley",17.2,,Subtask,"Acceso al panel de control del Servidor",,"Not Started",,,,,,,
"Hayley",17.3,,Subtask,"Acceso a Gmail (para Google Anaytics y Google Search Console)",,"Not Started",,,,,,,
"Hayley",17.4,,Subtask,"Acceso a Traductor (Weglot)",,"Not Started",,,,,,,
"Hayley",17.5,,Subtask,"Acceso a Pasarelas de Pago (PaPal, Stripe, Mercado Pago, etc.)",,"Not Started",,,,,,,
"Hayley",17.6,,Subtask,"Acceso a Pasarela de Fletes para Envíos",,"Not Started",,,,,,,
"Hayley",3,5,Task,"Sitemap","Development basic","Not Started","Sharpen.Studio",30/06/2026,3,02/07/2026,2,4,"Se desarrolla el sitemap: una guía para definir objetivos, la estructura del sitio y la importancia de cada página, optimizando su indexación en buscadores."
"Hayley",4,6,Task,"Sitemap - Aprobación","Development basic","Not Started","Cliente",03/07/2026,1,03/07/2026,3,5,"El sitemap requiere aprobación por parte del cliente."
"Hayley",5,7,Task,"Dummy PDF","Development basic","Not Started","Sharpen.Studio",04/07/2026,14,17/07/2026,4,6,"**Maqueta visual - Wireframe - Dummy PDF**  Con el sitemap definido, se crea un dummy PDF o maqueta visual estática que ofrece una visión más clara del diseño de tu sitio web. Se presentan dos páginas, mostrando textos, identidad gráfica, colores, imágenes y más."
"Hayley",6,8,Task,"Dummy PDF - Aprobación","Development basic","Not Started","Cliente",18/07/2026,1,18/07/2026,5,7,"El cliente debe de aprobar el Dummy PDF."
"Hayley",7,9,Task,"Dummy Web 1 - (Home)","Development basic","Not Started","Sharpen.Studio",19/07/2026,19,06/08/2026,6,8,"Se inicia el desarrollo web, presentando uno o dos apartados para la aprobación del cliente."
"Hayley",7.1,,Subtask,"Instalación de WordPress de acuerdo al idioma predeterminado (inglés o español)",,"Not Started",,,,,,,
"Hayley",7.2,,Subtask,"Configuración inicial de WordPress",,"Not Started",,,,,,,
"Hayley",7.3,,Subtask,"Instalar Plugins predeterminados",,"Not Started",,,,,,,
"Hayley",7.4,,Subtask,"Desarrollo de página inicial (Home)",,"Not Started",,,,,,,
"Hayley",7.5,,Subtask,"Revisión de Accesibilidad (WCAG)",,"Not Started",,,,,,,
"Hayley",8,10,Task,"Dummy Web 1 - (Home) - Aprobación","Development basic","Not Started","Cliente",07/08/2026,1,07/08/2026,7,9,"El cliente debe de aprobar el dummy web inicial presentado, antes de proseguir con el resto del sitio."
"Hayley",9,11,Task,"Dummy Web 2","Development basic","Not Started","Sharpen.Studio",08/08/2026,14,21/08/2026,8,10,"Se desarrollan las demás páginas y secciones del dummy web."
"Hayley",9.1,,Subtask,"Páginas según Scope",,"Not Started",,,,,,,
"Hayley",9.2,,Subtask,"Configuración de Formularios de Contacto",,"Not Started",,,,,,,
"Hayley",9.3,,Subtask,"Contacto - Gracias",,"Not Started",,,,,,,
"Hayley",9.4,,Subtask,"404",,"Not Started",,,,,,,
"Hayley",9.5,,Subtask,"Plantilla Elemailer",,"Not Started",,,,,,,
"Hayley",9.6,,Subtask,"Aviso de Cookies",,"Not Started",,,,,,,
"Hayley",9.7,,Subtask,"Formulario de Acceso y Registro a WP Admin",,"Not Started",,,,,,,
"Hayley",9.8,,Subtask,"Legales",,"Not Started",,,,,,,
"Hayley",9.9,,Subtask,"Configuración de Ajustes de WooCommerce",,"Not Started",,,,,,,
"Hayley",10,12,Task,"Dummy Web 2 - Aprobación","Development basic","Not Started","Cliente",22/08/2026,2,23/08/2026,9,11;45,"El cliente debe de aprobar el dummy web restante."
"Hayley",11,13,Task,"Dummy Web 3","Development basic","Not Started","Sharpen.Studio",24/08/2026,7,30/08/2026,10,12,"Ajustes finales sobre el dummy web, tras haber creado módulo de Blog, integrando cambios menores antes de pasar a la etapa de aprobación."
"Hayley",12,14,Task,"Dummy Web 3 - Aprobación","Development basic","Not Started","Cliente",31/08/2026,2,01/09/2026,11,42;56,"Revisión y validación del dummy web, con el módulo de Blog, por parte del cliente para continuar con el desarrollo."
"Hayley",45,15,Task,"Productos - Desarrollo","Development E-Com","Not Started","Sharpen.Studio",24/08/2026,7,30/08/2026,10;25,26,"Configuración y desarrollo de la sección de Proyectos, dejando la estructura lista para publicar contenidos de forma ordenada, clara y optimizada."
"Hayley",45.1,,Subtask,"Creación y configuración inicial de Productos",,"Not Started",,,,,,,
"Hayley",45.2,,Subtask,"Creación de Taxonomías: Categorías, Variables, Etiquetas, Marcas",,"Not Started",,,,,,,
"Hayley",45.3,,Subtask,"Diseño y desarrollo de Loop Item, Single, Archive, Página de Tienda y Resultados de Búsqueda de Productos",,"Not Started",,,,,,,
"Hayley",45.4,,Subtask,"Diseño y desarrollo de páginas de Mi Cuenta, Carrito y Finalizar Compra",,"Not Started",,,,,,,
