Project Name,ID,Sort ID,Type,Task,Phase,Status,Responsible,Start Date,Days,End Date,Depends On,Dependencies,Comments
"2. Viaker",1,1,Task,"Kick-Off","Kick-Off","Done","Sharpen.Studio - Cliente",09/03/2026,1,09/03/2026,,2;17;25,"En la reunión de kick-off se discuten la estrategia de desarrollo, los plazos, el alcance y las tareas. Además, se presentan los líderes del proyecto."
"2. Viaker",1.1,,Subtask,"Scope",,"Done",,,,,,,
"2. Viaker",2,2,Task,"Entregables (Contenidos Generales)","Deliverables","Done","Cliente",10/03/2026,7,16/03/2026,1,3,"Entregables necesarios por parte del cliente para comenzar el desarrollo. Los elementos clave para iniciar incluyen: look & feel, textos, contenido multimedia y branding."
"2. Viaker",2.1,,Subtask,"Look & Feel",,"Done",,,,,,,
"2. Viaker",2.2,,Subtask,"Branding",,"Done",,,,,,,
"2. Viaker",2.3,,Subtask,"Copy / Textos",,"Done",,,,,,,
"2. Viaker",2.4,,Subtask,"Multimedia / Fotos y Videos en YouTube",,"Done",,,,,,,
"2. Viaker",2.5,,Subtask,"Info de Contacto / Email, WhatsApp, etc.",,"Done",,,,,,,
"2. Viaker",2.6,,Subtask,"Legales",,"Done",,,,,,,
"2. Viaker",2.7,,Subtask,"Diversos",,"Done",,,,,,,
"2. Viaker",25,4,Task,"Entregables (Productos) ","Deliverables","Done","Cliente",10/03/2026,15,24/03/2026,1,45,"Entrega de accesos, estructura y contenidos relacionados con la sección de Proyectos del sitio web."
"2. Viaker",25.1,,Subtask,"Campos para crear template de Productos",,"Done",,,,,,,
"2. Viaker",25.2,,Subtask,"Contenidos (texto e imágenes) para dar de alta Productos",,"Done",,,,,,,
"2. Viaker",17,5,Task,"Entregables (Dominio/Servidor)","Deliverables","On Hold","Cliente",10/03/2026,45,23/04/2026,1,20,"El cliente debe entregar acceso al registro del dominio y servidor."
"2. Viaker",17.1,,Subtask,"Acceso al Dominio (GoDaddy, etc.)",,"Not Started",,,,,,,
"2. Viaker",17.2,,Subtask,"Acceso al panel de control del Servidor",,"Not Started",,,,,,,
"2. Viaker",17.3,,Subtask,"Acceso a Gmail (para Google Anaytics y Google Search Console)",,"Not Started",,,,,,,
"2. Viaker",17.4,,Subtask,"Acceso a Traductor (Weglot)",,"Not Started",,,,,,,
"2. Viaker",17.5,,Subtask,"Acceso a Pasarelas de Pago (PaPal, Stripe, Mercado Pago, etc.)",,"Not Started",,,,,,,
"2. Viaker",17.6,,Subtask,"Acceso a Pasarela de Fletes para Envíos",,"Not Started",,,,,,,
"2. Viaker",3,6,Task,"Sitemap","Development basic","Done","Sharpen.Studio",17/03/2026,1,17/03/2026,2,4,"Se desarrolla el sitemap: una guía para definir objetivos, la estructura del sitio y la importancia de cada página, optimizando su indexación en buscadores."
"2. Viaker",4,7,Task,"Sitemap - Aprobación","Development basic","Done","Cliente",18/03/2026,1,18/03/2026,3,5,"El sitemap requiere aprobación por parte del cliente."
"2. Viaker",5,8,Task,"Dummy PDF","Development basic","Done","Sharpen.Studio",19/03/2026,10,28/03/2026,4,6,"**Maqueta visual - Wireframe - Dummy PDF**  Con el sitemap definido, se crea un dummy PDF o maqueta visual estática que ofrece una visión más clara del diseño de tu sitio web. Se presentan dos páginas, mostrando textos, identidad gráfica, colores, imágenes y más."
"2. Viaker",6,9,Task,"Dummy PDF - Aprobación","Development basic","Done","Cliente",29/03/2026,2,30/03/2026,5,7,"El cliente debe de aprobar el Dummy PDF."
"2. Viaker",7,10,Task,"Dummy Web 1 - (Home)","Development basic","Done","Sharpen.Studio",31/03/2026,15,14/04/2026,6,8,"Se inicia el desarrollo web, presentando uno o dos apartados para la aprobación del cliente."
"2. Viaker",7.1,,Subtask,"Instalación de WordPress de acuerdo al idioma predeterminado (inglés o español)",,"Done",,,,,,,
"2. Viaker",7.2,,Subtask,"Configuración inicial de WordPress",,"Done",,,,,,,
"2. Viaker",7.3,,Subtask,"Instalar Plugins predeterminados",,"Done",,,,,,,
"2. Viaker",7.4,,Subtask,"Desarrollo de página inicial (Home)",,"Done",,,,,,,
"2. Viaker",7.5,,Subtask,"Revisión de Accesibilidad (WCAG)",,"Done",,,,,,,
"2. Viaker",8,11,Task,"Dummy Web 1 - (Home) - Aprobación","Development basic","Done","Cliente",15/04/2026,1,15/04/2026,7,9,"El cliente debe de aprobar el dummy web inicial presentado, antes de proseguir con el resto del sitio."
"2. Viaker",9,12,Task,"Dummy Web 2","Development basic","On Hold","Sharpen.Studio",16/04/2026,10,25/04/2026,8,10,"Se desarrollan las demás páginas y secciones del dummy web."
"2. Viaker",9.1,,Subtask,"Páginas según Scope",,"Not Started",,,,,,,
"2. Viaker",9.2,,Subtask,"Configuración de Formularios de Contacto",,"Not Started",,,,,,,
"2. Viaker",9.3,,Subtask,"Contacto - Gracias",,"Not Started",,,,,,,
"2. Viaker",9.4,,Subtask,"404",,"Not Started",,,,,,,
"2. Viaker",9.5,,Subtask,"Plantilla Elemailer",,"Not Started",,,,,,,
"2. Viaker",9.6,,Subtask,"Aviso de Cookies",,"Not Started",,,,,,,
"2. Viaker",9.7,,Subtask,"Formulario de Acceso y Registro a WP Admin",,"Not Started",,,,,,,
"2. Viaker",9.8,,Subtask,"Legales",,"Not Started",,,,,,,
"2. Viaker",9.9,,Subtask,"Configuración de Ajustes de WooCommerce",,"Not Started",,,,,,,
"2. Viaker",10,13,Task,"Dummy Web 2 - Aprobación","Development basic","Not Started","Cliente",26/04/2026,1,26/04/2026,9,11;45,"El cliente debe de aprobar el dummy web restante."
"2. Viaker",11,16,Task,"Dummy Web 3","Development basic","Not Started","Sharpen.Studio",27/04/2026,3,29/04/2026,10,12,"Ajustes finales sobre el dummy web, tras haber creado módulo de Blog, integrando cambios menores antes de pasar a la etapa de aprobación."
"2. Viaker",12,17,Task,"Dummy Web 3 - Aprobación","Development basic","Not Started","Cliente",30/04/2026,1,30/04/2026,11,42,"Revisión y validación del dummy web, con el módulo de Blog, por parte del cliente para continuar con el desarrollo."
"2. Viaker",45,20,Task,"Productos - Desarrollo","Development E-Com","Not Started","Sharpen.Studio",27/04/2026,3,29/04/2026,10;25,26,"Configuración y desarrollo de la sección de Proyectos, dejando la estructura lista para publicar contenidos de forma ordenada, clara y optimizada."
"2. Viaker",45.1,,Subtask,"Creación y configuración inicial de Productos",,"Not Started",,,,,,,
"2. Viaker",45.2,,Subtask,"Creación de Taxonomías: Categorías, Variables, Etiquetas, Marcas",,"Not Started",,,,,,,
"2. Viaker",45.3,,Subtask,"Diseño y desarrollo de Loop Item, Single, Archive, Página de Tienda y Resultados de Búsqueda de Productos",,"Not Started",,,,,,,
"2. Viaker",45.4,,Subtask,"Diseño y desarrollo de páginas de Mi Cuenta, Carrito y Finalizar Compra",,"Not Started",,,,,,,
"2. Viaker",45.5,,Subtask,"Configuación de Pasarelas de Pago",,"Not Started",,,,,,,
"2. Viaker",45.6,,Subtask,"Configuración de Pasarela de Fletes para Envío",,"Not Started",,,,,,,
"2. Viaker",26,21,Task,"Productos - Dar de Alta 3x Productos","Development E-Com","Not Started","Sharpen.Studio",30/04/2026,1,30/04/2026,45,27;42,"Se cargan X proyectos de ejemplo para mostrar el funcionamiento de los mismos y servir como referencia de estilo y estructura, estipulados en el convenio."
